taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,category,criteria,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,tax_sp_level
46180,Placodiscus opacus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Placodiscus,NA,Radlk.,2004,VU,B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Placodiscus opacus
202821,Rhaptopetalum sessilifolium,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,SCYTOPETALACEAE,Rhaptopetalum,NA,Engl.,2015,EN,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",20,2180,800,700,NA,NA,NA,NA,NA,NA,Rhaptopetalum sessilifolium
32170,Grewia transzambesica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Grewia,NA,Wild,1998,DD,NA,FALSE,FALSE,TRUE,"Bandeira, S.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grewia transzambesica
13579786,Cyperus rigidifolius,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Cyperus,NA,Steud.,2013,LC,NA,FALSE,FALSE,TRUE,"Contu, S.","Beentje, H.J.",NA,3300000,3300,900,NA,NA,NA,NA,NA,NA,Cyperus rigidifolius
34775,Drypetes preussii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PUTRANJIVACEAE,Drypetes,NA,(Pax) Hutch.,2004,VU,B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drypetes preussii
45453,Drypetes staudtii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PUTRANJIVACEAE,Drypetes,NA,(Pax) Hutch.,2004,VU,B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drypetes staudtii
62332,Bulbostylis densa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Bulbostylis,NA,(Wall.) Hand.-Mazz.,2011,LC,NA,FALSE,TRUE,TRUE,"Watve, A.","Juffe Bignoli, D., Ravikumar, K., Narasimhan, D., Kumar, V.S. & Rao, M.L.V.",NA,NA,3500,0,NA,NA,NA,NA,NA,NA,Bulbostylis densa
45450,Crotonogyne zenkeri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Crotonogyne,NA,Pax,2004,VU,A2c; B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotonogyne zenkeri
173784,Diospyros alboflavescens,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,EBENACEAE,Diospyros,NA,(Gürke) F.White,2015,EN,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,"Cheek, M. & Gosline, G.","Onana, J.-M.",12,996,400,0,NA,NA,NA,NA,NA,NA,Diospyros alboflavescens
48153886,Blepharis longifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Blepharis,NA,Lindau,2015,LC,NA,FALSE,FALSE,TRUE,"Luke, W.R.Q., Bangirinama, F., Beentje, H.J., Darbyshire, I., Gereau, R., Kabuye, C., Kalema, J., Kelbessa, E., Kindeketa, W., Minani, V., Mwangoka, M. & Ndangalasi, H.","Maunder, M. & Hilton-Taylor, C.",319.539,364913,1500,200,NA,NA,NA,NA,NA,NA,Blepharis longifolia
46360,Habenaria batesii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ORCHIDACEAE,Habenaria,NA,la Croix,2004,EN,B2ab(iii),FALSE,FALSE,TRUE,"Pollard, B.J. & Darbyshire, I.","Zapfack, L. & Cribb, P.J. (Orchid Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Habenaria batesii
45454,Hamilcoa zenkeri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Hamilcoa,NA,(Pax) Prain,2004,VU,B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hamilcoa zenkeri
32504,Dalbergia melanoxylon,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Dalbergia,African Blackwood,Guill. &amp; Perr.,1998,LR/nt,NA,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dalbergia melanoxylon
