tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Dalbergia florifera,9,4,AFRICA
Crotalaria staneriana,2,1,
Dolichos karaviaensis,3,2,
Eminia holubii,7,6,AFRICA
Eriosema chrysadenium,39,28,AFRICA
Eriosema humile,2,1,
Eriosema ellipticum,39,19,AFRICA
Eriosema stanerianum,19,11,AFRICA
Humularia corbisieri,13,5,
Humularia renieri,9,6,
Humularia rosea,21,7,
Humularia welwitschii,7,7,AFRICA
Flemingia grahamiana,76,41,"AFRICA, ASIA"
Humularia callensii,2,2,
Humularia upembae,2,1,
Humularia wittei,3,2,
Kotschya africana,109,49,AFRICA
Millettia stenopetala,1,1,
Philenoptera katangensis,20,7,
Leptoderris nobilis,38,19,AFRICA
Millettia bequaertii,6,4,
Platysepalum pulchrum,42,9,AFRICA
Tephrosia curvata,5,4,
Pterocarpus tinctorius,40,26,AFRICA
Rhynchosia longissima,2,1,
Rhynchosia axilliflora,2,1,
Rhynchosia oblongifoliolata,2,1,
Tephrosia kazibensis,5,3,AFRICA
Tephrosia subpraecox,2,1,
Tephrosia hockii,25,14,AFRICA
Lobelia petiolata,32,10,AFRICA
Lobelia stuhlmannii,13,4,AFRICA
Phragmanthera seretii,14,7,AFRICA
Tapinanthus erectotruncatus,25,14,
Hibiscus homblei,29,5,AFRICA
Hibiscus goossensii,3,1,
Warneckea walikalensis,10,4,AFRICA
Hibiscus bequaertii,13,11,
Pavonia brevibracteolata,2,1,
Lijndenia bequaertii,28,8,AFRICA
Sida libenii,3,1,
Entandrophragma delevoyi,22,10,
Entandrophragma congoense,39,20,AFRICA
Entandrophragma utile,88,32,AFRICA
Tiliacora laurentii,28,6,AFRICA
Trichilia welwitschii,85,40,AFRICA
Ficus crassicosta,12,9,
Ficus densistipulata,10,4,AFRICA
Pouteria superba,3,2,
Placodiscus paniculatus,2,1,
Placodiscus gimbiensis,3,1,
Balthasaria schliebenii,5,3,AFRICA
Ancistrocarpus bequaertii,140,29,AFRICA
Omphalocarpum mortehanii,19,6,
Synsepalum laurentii,11,6,AFRICA
Synsepalum subcordatum,32,13,AFRICA
Tridesmostemon omphalocarpoides,58,21,AFRICA
Omphalocarpum lescrauwaetii,2,1,
Omphalocarpum vermoesenii,9,2,
Buchnera vandenberghenii,3,1,
Crepidorhopalon chironioides,1,1,
Urera bequaertii,5,2,
Clerodendrum dewittei,2,1,
Celtis mildbraedii,82,33,AFRICA
Grewia ugandensis,46,17,
Hartliella capitata,10,8,AFRICA
Grewia mildbraedii,58,33,AFRICA
Oxygonum dregeanum,24,20,AFRICA
Lasiodiscus gillardinii,8,3,AFRICA
Ranunculus bequaertii,27,12,
Alchemilla subnivalis,27,3,AFRICA
Alchemilla stuhlmannii,14,1,
Rubus subspicatus,5,2,
Deinbollia longiacuminata,2,1,
Blighia welwitschii,143,72,AFRICA
Deinbollia cauliflora,29,6,AFRICA
Deinbollia crassipes,2,1,
Allophylus katangensis,4,2,
Deinbollia laurentii,26,11,AFRICA
