"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Vernonia homilantha",12386,56,14,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia hymenolepis",4213387,208,54,NA,"43","5","LC or NT","LC or NT B1a+B2a","19.2","LC or NT","LC or NT"
"Vernonia ianthina",490022,100,25,NA,"20","2","LC or NT","LC or NT B1a+B2a","23.3","LC or NT","LC or NT"
"Vernonia incompta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia infundibularis",1354252,44,11,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia inhacensis",4642,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia ischnophylla",43484,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Vernonia ituriensis",1673334,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Vernonia jaegeri",NA,4,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Vernonia jelfiae",282679,20,6,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia kamerunensis",570177,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia kapirensis",315992,56,14,NA,"14","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia kapolowensis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia karaguensis",7980229,216,55,NA,"53","9","LC or NT","LC or NT B1a+B2a","15.3","LC or NT","LC or NT"
"Vernonia kasaiensis",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia kawoziensis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia kayuniana",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia kirungae",30744,108,27,NA,"17","3","LC or NT","LC or NT B1a+B2a","59.5","LC or NT","LC or NT"
"Vernonia klingii",251607,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Vernonia lampropappa",1298475,96,24,NA,"22","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia lancifolia",14108,24,6,NA,"5","0","EN","EN B2a","0","EN","VU"
"Vernonia lasiopus",4745651,472,124,NA,"102","20","LC or NT","LC or NT B1a+B2a","24.8","LC or NT","LC or NT"
"Vernonia leopoldii",222211,72,18,NA,"16","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia longipedunculata",169245,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia lualabaensis",19424,84,21,NA,"20","1","LC or NT","LC or NT B1a+B2a","2.6","LC or NT","LC or NT"
"Vernonia luhomeroensis",82,16,4,NA,"1","1","LC or NT","CR B1a+B2a","100","CR","CR"
"Vernonia meiostephana",198318,16,5,NA,"4","2","EN","EN B2a","60","EN","LC or NT"
"Vernonia melleri",890684,52,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Vernonia migeodii",941644,124,31,NA,"29","1","LC or NT","LC or NT B1a+B2a","3.1","LC or NT","LC or NT"
"Vernonia mikumiensis",700,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia milanjiana",101,20,5,NA,"1","1","LC or NT","CR B2a","100","CR","EN"
"Vernonia miombicola",728835,228,57,NA,"56","3","LC or NT","LC or NT B1a+B2a","7.2","LC or NT","LC or NT"
"Vernonia miombicoloides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia mogadoxensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia muelleri",542905,32,9,NA,"8","6","VU","VU B2a","66.7","VU","LC or NT"
"Vernonia mumpullensis",14601,24,6,NA,"4","1","EN","EN B2a","50","EN","VU"
"Vernonia musofensis",5101877,164,42,NA,"38","5","LC or NT","LC or NT B1a+B2a","12.9","LC or NT","LC or NT"
"Vernonia myriantha",11401345,232,62,NA,"54","14","LC or NT","LC or NT B1a+B2a","30.9","LC or NT","LC or NT"
"Vernonia nestor",1986537,88,24,NA,"20","2","LC or NT","LC or NT B1a+B2a","8","LC or NT","LC or NT"
"Vernonia nigritiana",1965188,344,90,NA,"81","13","LC or NT","LC or NT B1a+B2a","24.5","LC or NT","LC or NT"
"Vernonia nimbaensis",60164,44,12,NA,"7","2","VU","VU B2a","46.7","VU","LC or NT"
"Vernonia nuxioides",348,20,5,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Vernonia nyassae",10870,24,6,NA,"6","2","VU","VU B1a+B2a","28.6","VU","VU"
"Vernonia obionifolia",33874,20,5,NA,"5","2","EN","EN B2a","40","EN","LC or NT"
"Vernonia oligocephala",1072889,40,10,NA,"10","2","VU","VU B2a","20","VU","LC or NT"
"Vernonia pandurata",1326971,80,20,NA,"20","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia paraemulans",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Vernonia parapetersii",41009,88,22,NA,"21","3","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Vernonia peculiaris",8161,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Vernonia petersii",3271644,84,21,NA,"21","2","LC or NT","LC or NT B1a+B2a","9.5","LC or NT","LC or NT"
"Vernonia plumbaginifolia",3367988,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Vernonia polysphaera",281977,92,23,NA,"20","4","LC or NT","LC or NT B1a+B2a","13.5","LC or NT","LC or NT"
"Vernonia popeana",757455,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia poskeana",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia potamophila",278511,72,18,NA,"16","1","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Vernonia procera",1509507,56,14,NA,"14","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Vernonia prolixa",291940,76,19,NA,"19","1","LC or NT","LC or NT B1a+B2a","4.3","LC or NT","LC or NT"
"Vernonia pteropoda",316020,40,11,NA,"9","6","VU","VU B2a","72.7","VU","LC or NT"
"Vernonia pumila",191517,32,8,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia purpurea",810697,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia retifolia",61091,36,9,NA,"8","1","VU","VU B2a","18.2","VU","LC or NT"
"Vernonia rhodanthoidea",146430,16,4,NA,"4","2","EN","EN B2a","50","EN","LC or NT"
"Vernonia ringoetii",387776,100,25,NA,"23","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia robinsonii",163436,36,9,NA,"9","1","VU","VU B2a","11.1","VU","LC or NT"
"Vernonia rosenii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia roseoviolacea",67708,24,6,NA,"6","1","VU","VU B2a","16.7","VU","LC or NT"
"Vernonia rubens",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia rueppellii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia ruvungatundu",1641,24,6,NA,"6","3","VU","VU B1a+B2a","50","VU","VU"
"Vernonia ruwenzoriensis",39554,96,25,NA,"18","2","LC or NT","LC or NT B1a+B2a","30.6","LC or NT","LC or NT"
"Vernonia sapinii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia scaettae",14843,72,18,NA,"13","2","LC or NT","LC or NT B1a+B2a","54.3","LC or NT","LC or NT"
"Vernonia schliebenii",685,24,6,NA,"5","1","EN","EN B1a+B2a","16.7","EN","EN"
"Vernonia schweinfurthii",5171342,92,23,NA,"22","4","LC or NT","LC or NT B1a+B2a","17.4","LC or NT","LC or NT"
"Vernonia sclerophylla",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
