"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Fadogia agrestis",4710736,200,50,NA,"45","9","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Fadogia ancylantha",4064727,192,51,NA,"44","3","LC or NT","LC or NT B1a+B2a","23.7","LC or NT","LC or NT"
"Fadogia andersonii",16140,16,4,NA,"4","1","EN","EN B2a","25","EN","VU"
"Fadogia arenicola",276515,40,10,NA,"8","2","VU","VU B2a","18.2","VU","LC or NT"
"Fadogia audruana",26725,40,10,NA,"4","1","EN","EN B2a","60","EN","LC or NT"
"Fadogia chlorantha",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fadogia cienkowskii",10149509,368,93,NA,"88","7","LC or NT","LC or NT B1a+B2a","8.1","LC or NT","LC or NT"
"Fadogia elskensii",914590,100,26,NA,"25","3","LC or NT","LC or NT B1a+B2a","16.1","LC or NT","LC or NT"
"Fadogia erythrophloea",540479,76,19,NA,"19","3","LC or NT","LC or NT B1a+B2a","15","LC or NT","LC or NT"
"Fadogia fuchsioides",935708,112,29,NA,"28","2","LC or NT","LC or NT B1a+B2a","8.6","LC or NT","LC or NT"
"Fadogia glaberrima",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Fadogia gossweileri",15958,24,6,NA,"6","1","VU","VU B1a+B2a","16.7","VU","VU"
"Fadogia homblei",2404999,132,33,NA,"32","3","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Fadogia lactiflora",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Fadogia luangwae",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Fadogia parvifolia",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Fadogia pobeguinii",252902,28,7,NA,"7","1","VU","VU B2a","14.3","VU","LC or NT"
"Fadogia rostrata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fadogia salictaria",58761,36,9,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Fadogia schmitzii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fadogia stenophylla",1482812,128,32,NA,"29","3","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Fadogia tetraquetra",6340299,68,22,NA,"17","5","LC or NT","LC or NT B1a+B2a","21.7","LC or NT","LC or NT"
"Fadogia tomentosa",534475,96,24,NA,"23","1","LC or NT","LC or NT B1a+B2a","3.7","LC or NT","LC or NT"
"Fadogia triphylla",3271874,380,98,NA,"85","17","LC or NT","LC or NT B1a+B2a","23.2","LC or NT","LC or NT"
"Fadogia verdcourtii",324,20,5,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Fadogia verdickii",63522,40,10,NA,"9","2","VU","VU B2a","30","VU","LC or NT"
"Fadogia vollesenii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Fadogiella rogersii",113089,28,7,NA,"6","1","VU","VU B2a","12.5","VU","LC or NT"
"Fadogiella stigmatoloba",367085,64,16,NA,"14","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Fagaropsis angolensis",1742865,48,12,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Fagaropsis hildebrandtii",66219,24,7,NA,"6","1","VU","VU B2a","28.6","VU","LC or NT"
"Fagonia arabica",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Fagonia indica",1623628,24,6,NA,"6","1","VU","VU B2a","16.7","VU","LC or NT"
"Fagonia latifolia",154620,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Fagonia latistipulata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fagonia luntii",4284,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Fagonia minutistipula",15767,12,3,NA,"3","2","EN","EN B2a","66.7","EN","VU"
"Fagonia paulayana",382332,36,9,NA,"9","1","VU","VU B2a","11.1","VU","LC or NT"
"Fagonia rangei",11840,20,5,NA,"4","1","EN","EN B2a","20","EN","VU"
"Fagopyrum snowdenii",1486887,64,17,NA,"13","7","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
"Faidherbia albida",21157438,220,55,NA,"54","8","LC or NT","LC or NT B1a+B2a","17.5","LC or NT","LC or NT"
"Falkia canescens",213983,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Falkia oblonga",235637,36,9,NA,"8","1","VU","VU B2a","11.1","VU","LC or NT"
"Falkia repens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Faroa acaulis",997240,96,24,NA,"23","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Faroa acuminata",27658,36,9,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Faroa affinis",116619,28,7,NA,"6","1","VU","VU B2a","36.4","VU","LC or NT"
"Faroa amara",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Faroa chalcophila",867,20,6,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Faroa duvigneaudii",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Faroa fanshawei",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Faroa graveolens",15940,88,23,NA,"19","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Faroa malaissei",262,36,12,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Faroa pusilla",1745561,52,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","21.4","LC or NT","LC or NT"
"Faroa salutaris",24905,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Faroa schaijesiorum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Farquharia elliptica",1472921,136,34,NA,"31","4","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Farsetia aegyptia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Farsetia cornus-africani",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Farsetia longisiliqua",590,24,6,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Farsetia longistyla",16802,16,4,NA,"3","0","EN","EN B2a","0","EN","VU"
"Farsetia occidentalis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Farsetia robecchiana",68622,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Farsetia stenoptera",7098127,140,35,NA,"34","2","LC or NT","LC or NT B1a+B2a","5.7","LC or NT","LC or NT"
"Farsetia stylosa",1807979,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Farsetia tenuisiliqua",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Farsetia undulicarpa",32762,48,12,NA,"10","3","VU","VU B2a","27.8","VU","LC or NT"
"Faurea delevoyi",105194,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Faurea racemosa",915,20,5,NA,"2","1","EN","EN B1a+B2a","66.7","EN","EN"
"Faurea rochetiana",9411516,124,32,NA,"31","3","LC or NT","LC or NT B1a+B2a","14.7","LC or NT","LC or NT"
"Faurea saligna",2522708,132,35,NA,"30","11","LC or NT","LC or NT B1a+B2a","35.1","LC or NT","LC or NT"
"Faurea wentzeliana",268544,36,9,NA,"6","4","VU","VU B2a","55.6","VU","LC or NT"
"Fegimanra acuminatissima",2066,24,6,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Fegimanra africana",641664,108,29,NA,"23","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Fegimanra afzelii",579534,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Felicia abyssinica",1484169,84,21,NA,"18","3","LC or NT","LC or NT B1a+B2a","19","LC or NT","LC or NT"
"Felicia aethiopica",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia anthemidodes",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Felicia australis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia bampsiana",17645,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Felicia boehmii",848907,64,16,NA,"15","1","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Felicia clavipilosa",521818,32,8,NA,"8","1","VU","VU B2a","12.5","VU","LC or NT"
"Felicia crenulata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia cymbalariae",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia dentata",67529,44,12,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Felicia deserti",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia ericifolia",90,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Felicia filifolia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Felicia flava",23688,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Felicia grantii",161311,28,7,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Felicia hyssopifolia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Felicia microsperma",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Felicia mossamedensis",1027176,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Felicia muricata",958984,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Felicia namaquana",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Felicia petiolata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia rosulata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia tenella",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Felicia welwitschii",687702,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Feliciadamia stenocarpa",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Feretia aeruginescens",1924240,152,38,NA,"36","4","LC or NT","LC or NT B1a+B2a","9.1","LC or NT","LC or NT"
"Feretia apodanthera",9634885,452,122,NA,"97","13","LC or NT","LC or NT B1a+B2a","14.9","LC or NT","LC or NT"
"Fernandoa abbreviata",70951,24,6,NA,"5","2","EN","EN B2a","50","EN","LC or NT"
"Fernandoa adolfi-friderici",803600,96,25,NA,"20","6","LC or NT","LC or NT B1a+B2a","43.3","LC or NT","LC or NT"
"Fernandoa ferdinandi",58769,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Fernandoa lutea",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Fernandoa magnifica",461730,56,14,NA,"14","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Ferraria glutinosa",143441,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Ferula communis",938493,40,10,NA,"9","1","VU","VU B2a","10","VU","LC or NT"
"Festuca abyssinica",4294183,168,42,NA,"33","10","LC or NT","LC or NT B1a+B2a","38.9","LC or NT","LC or NT"
"Festuca africana",783978,64,17,NA,"13","6","LC or NT","LC or NT B1a+B2a","55","LC or NT","LC or NT"
"Festuca camerunensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Festuca camusiana",452355,28,7,NA,"6","1","VU","VU B2a","37.5","VU","LC or NT"
"Festuca caprina",223298,16,4,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Festuca costata",113691,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Festuca gilbertiana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Festuca hedbergii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Festuca macrophylla",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Festuca mekiste",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Festuca obturbans",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Festuca pilgeri",191211,48,12,NA,"8","5","VU","VU B2a","80","VU","LC or NT"
"Festuca richardii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Festuca rigidiuscula",16,16,4,NA,"2","1","EN","EN B1a+B2a","75","EN","EN"
"Festuca scabra",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Festuca simensis",342561,24,6,NA,"6","2","VU","VU B2a","42.9","VU","LC or NT"
"Festuca teneriffae",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficalhoa laurifolia",658773,156,46,NA,"31","12","LC or NT","LC or NT B1a+B2a","53.1","LC or NT","LC or NT"
"Ficinia acuminata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia albicans",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia angustifolia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Ficinia arenicola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia bulbosa",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Ficinia clandestina",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia compasbergensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia deusta",107,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Ficinia distans",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia ecklonea",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia elatior",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia filiformis",641813,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Ficinia gracilis",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Ficinia grandiflora",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia ixioides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia leiocarpa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia minutiflora",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia mucronata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia nigrescens",5078,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Ficinia nodosa",103148,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Ficinia paradoxa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia pinguior",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia ramosissima",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia repens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia secunda",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia stolonifera",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficinia truncata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficus abscondita",444172,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Ficus abutilifolia",10931492,160,42,NA,"39","3","LC or NT","LC or NT B1a+B2a","7","LC or NT","LC or NT"
"Ficus adolfi-friderici",336370,24,6,NA,"6","3","VU","VU B2a","50","VU","LC or NT"
"Ficus amadiensis",2059245,32,8,NA,"8","2","VU","VU B2a","25","VU","LC or NT"
"Ficus annobonensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficus ardisioides",2895180,264,68,NA,"56","8","LC or NT","LC or NT B1a+B2a","16.9","LC or NT","LC or NT"
"Ficus artocarpoides",2867933,100,25,NA,"24","4","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Ficus asperifolia",7500547,628,160,NA,"147","19","LC or NT","LC or NT B1a+B2a","16","LC or NT","LC or NT"
"Ficus barteri",3194077,148,37,NA,"34","8","LC or NT","LC or NT B1a+B2a","31.6","LC or NT","LC or NT"
"Ficus bubu",5103064,52,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Ficus burretiana",189837,20,7,NA,"4","3","EN","EN B2a","85.7","EN","LC or NT"
"Ficus burtt-davyi",2526,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Ficus bussei",679121,56,15,NA,"15","2","LC or NT","LC or NT B1a+B2a","13.3","LC or NT","LC or NT"
"Ficus calyptrata",818625,56,14,NA,"14","3","LC or NT","LC or NT B1a+B2a","21.4","LC or NT","LC or NT"
"Ficus capreifolia",15323783,144,36,NA,"34","3","LC or NT","LC or NT B1a+B2a","7.7","LC or NT","LC or NT"
"Ficus chirindensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Ficus chlamydocarpa",12036,28,9,NA,"7","1","VU","VU B1a+B2a","11.1","VU","VU"
"Ficus conraui",3996064,120,30,NA,"30","7","LC or NT","LC or NT B1a+B2a","29.7","LC or NT","LC or NT"
"Ficus cordata",20617973,252,64,NA,"60","6","LC or NT","LC or NT B1a+B2a","8.6","LC or NT","LC or NT"
"Ficus crassicosta",279760,36,9,NA,"9","2","VU","VU B2a","30","VU","LC or NT"
"Ficus craterostoma",7558268,224,56,NA,"53","12","LC or NT","LC or NT B1a+B2a","27.4","LC or NT","LC or NT"
"Ficus cyathistipula",7332826,348,91,NA,"77","16","LC or NT","LC or NT B1a+B2a","20.4","LC or NT","LC or NT"
"Ficus cyathistipuloides",246852,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Ficus densistipulata",427067,24,7,NA,"6","1","VU","VU B2a","28.6","VU","LC or NT"
"Ficus dicranostyla",6964936,180,46,NA,"41","7","LC or NT","LC or NT B1a+B2a","16","LC or NT","LC or NT"
"Ficus dryepondtiana",635430,52,13,NA,"13","3","LC or NT","LC or NT B1a+B2a","21.4","LC or NT","LC or NT"
"Ficus elasticoides",2371848,60,16,NA,"15","6","LC or NT","LC or NT B1a+B2a","37.5","LC or NT","LC or NT"
"Ficus exasperata",11793424,648,168,NA,"144","21","LC or NT","LC or NT B1a+B2a","14.9","LC or NT","LC or NT"
"Ficus faulkneriana",5336,36,10,NA,"8","2","VU","VU B1a+B2a","14.3","VU","VU"
"Ficus fischeri",1678459,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Ficus glumosa",18697742,572,149,NA,"136","19","LC or NT","LC or NT B1a+B2a","15.2","LC or NT","LC or NT"
"Ficus ilicina",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Ficus ingens",16475400,436,110,NA,"102","13","LC or NT","LC or NT B1a+B2a","15.3","LC or NT","LC or NT"
"Ficus jansii",418728,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Ficus kamerunensis",1425283,112,29,NA,"27","8","LC or NT","LC or NT B1a+B2a","30.3","LC or NT","LC or NT"
"Ficus leonensis",459217,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Ficus lingua",9676891,212,55,NA,"50","8","LC or NT","LC or NT B1a+B2a","15.6","LC or NT","LC or NT"
"Ficus louisii",428633,40,10,NA,"10","2","VU","VU B2a","20","VU","LC or NT"
"Ficus lutea",15489182,460,117,NA,"108","19","LC or NT","LC or NT B1a+B2a","21","LC or NT","LC or NT"
"Ficus lyrata",635647,56,14,NA,"14","2","LC or NT","LC or NT B1a+B2a","23.5","LC or NT","LC or NT"
"Ficus mucuso",5666236,216,55,NA,"52","9","LC or NT","LC or NT B1a+B2a","17.7","LC or NT","LC or NT"
"Ficus natalensis",14290379,592,154,NA,"140","23","LC or NT","LC or NT B1a+B2a","22.9","LC or NT","LC or NT"
"Ficus nigro-punctata",324245,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Ficus oreodryadum",527413,32,8,NA,"5","3","EN","EN B2a","55.6","EN","LC or NT"
"Ficus ottoniifolia",8964809,464,118,NA,"112","20","LC or NT","LC or NT B1a+B2a","18.5","LC or NT","LC or NT"
"Ficus ovata",12842181,340,86,NA,"80","12","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Ficus pachyneura",594,16,4,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Ficus palmata",781337,72,18,NA,"14","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Ficus platyphylla",8573830,144,39,NA,"35","3","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Ficus polita",11242805,156,41,NA,"35","7","LC or NT","LC or NT B1a+B2a","20.5","LC or NT","LC or NT"
"Ficus preussii",1923343,88,22,NA,"20","4","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Ficus pseudomangifera",3699846,76,20,NA,"16","5","LC or NT","LC or NT B1a+B2a","36.4","LC or NT","LC or NT"
"Ficus pygmaea",796248,76,19,NA,"17","6","LC or NT","LC or NT B1a+B2a","31.6","LC or NT","LC or NT"
"Ficus recurvata",883617,40,10,NA,"10","4","VU","VU B2a","36.4","VU","LC or NT"
"Ficus sagittifolia",1456711,132,34,NA,"32","9","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Ficus sansibarica",11986340,200,51,NA,"48","12","LC or NT","LC or NT B1a+B2a","28.8","LC or NT","LC or NT"
"Ficus saussureana",3357827,184,52,NA,"43","7","LC or NT","LC or NT B1a+B2a","23.4","LC or NT","LC or NT"
"Ficus scassellatii",3192191,144,37,NA,"36","10","LC or NT","LC or NT B1a+B2a","31","LC or NT","LC or NT"
"Ficus scott-elliotii",685815,72,19,NA,"17","1","LC or NT","LC or NT B1a+B2a","15","LC or NT","LC or NT"
"Ficus stuhlmannii",2131167,80,20,NA,"20","1","LC or NT","LC or NT B1a+B2a","5","LC or NT","LC or NT"
"Ficus subcostata",435751,28,7,NA,"7","2","VU","VU B2a","54.5","VU","LC or NT"
"Ficus subsagittifolia",545048,40,10,NA,"10","1","VU","VU B2a","9.1","VU","LC or NT"
"Ficus sur",17807790,1132,291,NA,"263","40","LC or NT","LC or NT B1a+B2a","18.4","LC or NT","LC or NT"
"Ficus sycomorus",16184672,568,144,NA,"135","16","LC or NT","LC or NT B1a+B2a","11.5","LC or NT","LC or NT"
"Ficus tesselata",1249672,48,12,NA,"12","4","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Ficus tettensis",131070,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Ficus thonningii",18512088,1264,327,NA,"288","36","LC or NT","LC or NT B1a+B2a","15.9","LC or NT","LC or NT"
"Ficus tremula",6944796,188,47,NA,"44","14","LC or NT","LC or NT B1a+B2a","30.6","LC or NT","LC or NT"
"Ficus trichopoda",10991512,248,63,NA,"55","9","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Ficus umbellata",1907312,52,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Ficus usambarensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Ficus vallis-choudae",11121938,380,99,NA,"89","12","LC or NT","LC or NT B1a+B2a","19.3","LC or NT","LC or NT"
"Ficus variifolia",4909946,80,21,NA,"18","9","LC or NT","LC or NT B1a+B2a","47.6","LC or NT","LC or NT"
"Ficus vasta",507998,112,28,NA,"25","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Ficus verruculosa",7890848,148,38,NA,"35","1","LC or NT","LC or NT B1a+B2a","2.6","LC or NT","LC or NT"
"Ficus vogeliana",3552012,268,72,NA,"57","15","LC or NT","LC or NT B1a+B2a","31.1","LC or NT","LC or NT"
"Ficus wakefieldii",15670,16,4,NA,"3","1","EN","EN B2a","25","EN","VU"
"Ficus wildemaniana",891764,36,9,NA,"8","2","VU","VU B2a","20","VU","LC or NT"
"Filago abyssinica",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Filago pyramidata",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Filago vulgaris",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Filetia africana",10824,32,8,NA,"6","0","VU","VU B1a+B2a","0","VU","VU"
"Filicium decipiens",243622,24,6,NA,"6","2","VU","VU B2a","33.3","VU","LC or NT"
"Fillaeopsis discophora",1369193,252,63,NA,"55","7","LC or NT","LC or NT B1a+B2a","22.4","LC or NT","LC or NT"
"Fimbristylis alboviridis",1087491,40,10,NA,"10","3","VU","VU B2a","36.4","VU","LC or NT"
"Fimbristylis aphylla",4988014,44,11,NA,"11","3","LC or NT","LC or NT B1a+B2a","27.3","LC or NT","LC or NT"
"Fimbristylis barteri",461920,16,5,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Fimbristylis bisumbellata",12118388,172,46,NA,"40","5","LC or NT","LC or NT B1a+B2a","24.1","LC or NT","LC or NT"
"Fimbristylis bivalvis",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Fimbristylis cymosa",9834418,168,44,NA,"36","1","LC or NT","LC or NT B1a+B2a","2.1","LC or NT","LC or NT"
"Fimbristylis debilis",38199,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Fimbristylis densa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fimbristylis dichotoma",13058955,1476,376,NA,"332","40","LC or NT","LC or NT B1a+B2a","19.5","LC or NT","LC or NT"
"Fimbristylis dipsacea",247709,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Fimbristylis ferruginea",15795656,152,40,NA,"35","1","LC or NT","LC or NT B1a+B2a","2.1","LC or NT","LC or NT"
"Fimbristylis fibrillosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fimbristylis gabonica",419428,56,14,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Fimbristylis littoralis",1246594,160,42,NA,"34","9","LC or NT","LC or NT B1a+B2a","39.6","LC or NT","LC or NT"
"Fimbristylis madagascariensis",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Fimbristylis microcarya",1182330,48,12,NA,"12","6","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
"Fimbristylis nigritana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Fimbristylis ovata",7093122,160,41,NA,"37","4","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Fimbristylis pilosa",4918378,304,76,NA,"63","12","LC or NT","LC or NT B1a+B2a","34.5","LC or NT","LC or NT"
"Fimbristylis podocarpa",23774,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Fimbristylis polytrichoides",30705,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Fimbristylis quinquangularis",4510325,64,16,NA,"16","1","LC or NT","LC or NT B1a+B2a","6.2","LC or NT","LC or NT"
"Fimbristylis scabrida",3815488,124,32,NA,"27","9","LC or NT","LC or NT B1a+B2a","42.9","LC or NT","LC or NT"
"Fimbristylis schoenoides",3519031,28,7,NA,"7","2","VU","VU B2a","25","VU","LC or NT"
"Fimbristylis schweinfurthiana",NA,4,2,NA,"2","1","EN","EN B2a","33.33","EN",NA
"Fimbristylis sieberiana",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Fimbristylis splendida",584717,44,11,NA,"8","3","VU","VU B2a","54.5","VU","LC or NT"
"Fimbristylis squarrosa",6603644,44,11,NA,"11","1","LC or NT","LC or NT B1a+B2a","9.1","LC or NT","LC or NT"
"Fingerhuthia africana",926407,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
